"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
621512601,フルタイド５０μｇエアゾール１２０吸入用　９．７２ｍｇ１０．６ｇ,2290700G7032,"1,989.9 ",0,"30,678 "
621895501,アドエア５０エアゾール１２０吸入用　１２．０ｇ,2290800G7030,"6,662.7 ",0,"29,052 "
621981201,アドエア１２５エアゾール１２０吸入用　１２．０ｇ,2290800G8029,"7,757.7 ",0,"28,563 "
621929601,アズマネックスツイストヘラー１００μｇ６０吸入　６ｍｇ１００μｇ,2290703G1020,"2,598.9 ",0,"19,211 "
622277901,フルティフォーム５０エアゾール５６吸入用,2290802G1023,"2,753.0 ",0,"15,504 "
620005290,パルミコート１００μｇタービュヘイラー１１２吸入　１１．２ｍｇ,2290701G1039,"1,689.6 ",0,"15,102 "
660451012,フルタイド５０ディスカス　５０μｇ６０ブリスター,2290700G4025,"1,484.8 ",0,"14,711 "
621981301,アドエア２５０エアゾール１２０吸入用　１２．０ｇ,2290800G9025,"8,806.0 ",0,"12,715 "
622014501,アズマネックスツイストヘラー２００μｇ６０吸入　１２ｍｇ,2290703G2026,"3,315.0 ",0,"11,137 "
620004889,オルベスコ１００μｇインヘラー１１２吸入用　１１．２ｍｇ６．６ｇ,2290702G2021,"2,378.4 ",0,"9,805 "
622057501,オルベスコ１００μｇインヘラー５６吸入用　５．６ｍｇ３．３ｇ,2290702G4024,"1,888.0 ",0,"6,783 "
622278101,フルティフォーム５０エアゾール１２０吸入用,2290802G3026,"5,780.7 ",0,"6,704 "
620004888,オルベスコ５０μｇインヘラー１１２吸入用　５．６ｍｇ６．６ｇ,2290702G1025,"1,848.7 ",0,"3,643 "
622158401,プルモザイム吸入液２．５ｍｇ　２．５ｍＬ,2290704G1024,"6,855.2 ",0,"2,651 "
662350004,グリセリン,2357700X1019,1.0 ,0,"3,587,292 "
662350104,新レシカルボン坐剤,2359800J1035,50.5 ,0,"2,578,862 "
620007694,テレミンソフト坐薬１０ｍｇ,2359700J2106,21.1 ,0,"1,113,464 "
620485301,ケンエーＧ浣腸液５０％　６０ｍＬ,2357701K6212,109.7 ,1,"662,507 "
620001402,グリセリン「ケンエー」,2357700X1078,1.3 ,0,"640,286 "
662350010,グリセリン浣腸「オヲタ」６０　５０％６０ｍＬ,2357701K6050,109.7 ,1,"637,149 "
662350093,グリセリン「ヨシダ」,2357700X1396,1.1 ,0,"589,351 "
620483301,ケンエーＧ浣腸液５０％,2357701K1113,1.2 ,1,"423,828 "
662350089,グリセリン「ニッコー」,2357700X1353,1.1 ,0,"388,190 "
620483801,ケンエーＧ浣腸液５０％　３０ｍＬ,2357701K3124,71.9 ,1,"387,241 "
662350011,グリセリン浣腸「オヲタ」小児用３０　５０％３０ｍＬ,2357701K3043,71.9 ,1,"373,731 "
660421012,グリセリン「マルイシ」,2357700X1256,1.2 ,0,"355,322 "
620483001,グリセリン浣腸液５０％「東豊」,2357701K1091,1.2 ,0,"337,729 "
662350041,グリセリン浣腸「ムネ」６０　５０％６０ｍＬ,2357701K6034,109.7 ,1,"293,915 "
662350009,グリセリン浣腸「オヲタ」１２０　５０％１２０ｍＬ,2357701K8045,138.7 ,1,"229,783 "
620486401,ケンエーＧ浣腸液５０％　１２０ｍＬ,2357701K8177,138.7 ,1,"214,650 "
620008422,テレミンソフト坐薬２ｍｇ,2359700J1010,19.3 ,0,"191,964 "
620483201,グリセリン浣腸液５０％「ヨシダ」,2357701K1105,1.2 ,1,"185,058 "
620001410,グリセリンＦＭ,2357700X1434,1.2 ,0,"168,749 "
620493611,ビサコジル坐剤１０ｍｇ「ＪＧ」,2359700J2017,19.3 ,0,"165,444 "
662350040,グリセリン浣腸「ムネ」３０　５０％３０ｍＬ,2357701K3035,71.9 ,1,"124,050 "
660431014,グリセリン「ヤクハン」,2357700X1299,1.3 ,0,"118,385 "
620007630,グリセリン浣腸液５０％「マイラン」　６０ｍＬ,2357701K6182,109.7 ,1,"105,729 "
662350044,グリセリン浣腸「ヤマゼン」　５０％,2357701K1040,1.2 ,1,"99,452 "
620482462,グリセリン「ＮｉｋＰ」,2357700X1493,1.2 ,0,"91,305 "
620484401,ケンエーＧ浣腸液５０％　４０ｍＬ,2357701K4104,100.0 ,1,"86,250 "
660408148,グリセリン「タイセイ」,2357700X1167,1.2 ,0,"81,750 "
620485801,グリセリン浣腸液５０％「ＯＲＹ」　６０ｍＬ,2357701K6190,109.7 ,1,"81,005 "
662350042,グリセリン浣腸「ムネ」１２０　５０％１２０ｍＬ,2357701K8037,138.7 ,1,"66,613 "
620001404,グリセリン　シオエ,2357700X1116,1.2 ,0,"61,379 "
662350106,ビサコジル坐剤　１０ｍｇ,2359700J2017,19.3 ,0,"60,615 "
620008243,グリセリン「東豊」,2357700X1477,1.2 ,0,"59,445 "
620493607,ビサコジル坐剤１０ｍｇ「日新」,2359700J2017,19.3 ,0,"57,681 "
620484701,ケンエーＧ浣腸液５０％　５０ｍＬ,2357701K5038,109.7 ,1,"39,887 "
