区分,薬価基準収載医薬品コード,成分名,規格,品名,,,,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考,,,,,
外用薬,1169700S2021,ロチゴチン,４．５ｍｇ１枚,,,,ニュープロパッチ４．５ｍｇ,大塚製薬,,先発品,,428.40,,,,,,,
外用薬,1169700S3028,ロチゴチン,９ｍｇ１枚,,,,ニュープロパッチ９ｍｇ,大塚製薬,,先発品,,660.10,,,,,,,
外用薬,1169700S4024,ロチゴチン,１３．５ｍｇ１枚,,,,ニュープロパッチ１３．５ｍｇ,大塚製薬,,先発品,,850.10,,,,,,,
外用薬,1190700S1029,リバスチグミン,４．５ｍｇ１枚,,,,イクセロンパッチ４．５ｍｇ,ノバルティス　ファーマ,,先発品,,346.80,,,,,,,
外用薬,1190700S1037,リバスチグミン,４．５ｍｇ１枚,,,,リバスタッチパッチ４．５ｍｇ,小野薬品工業,,先発品,,346.80,,,,,,,
外用薬,1190700S2025,リバスチグミン,９ｍｇ１枚,,,,イクセロンパッチ９ｍｇ,ノバルティス　ファーマ,,先発品,,390.50,,,,,,,
外用薬,1190700S2033,リバスチグミン,９ｍｇ１枚,,,,リバスタッチパッチ９ｍｇ,小野薬品工業,,先発品,,390.50,,,,,,,
外用薬,1190700S3021,リバスチグミン,１３．５ｍｇ１枚,,,,イクセロンパッチ１３．５ｍｇ,ノバルティス　ファーマ,,先発品,,418.60,,,,,,,
外用薬,1190700S3030,リバスチグミン,１３．５ｍｇ１枚,,,,リバスタッチパッチ１３．５ｍｇ,小野薬品工業,,先発品,,418.60,,,,,,,
外用薬,1190700S4028,リバスチグミン,１８ｍｇ１枚,,,,イクセロンパッチ１８ｍｇ,ノバルティス　ファーマ,,先発品,,439.70,,,,,,,
外用薬,1190700S4036,リバスチグミン,１８ｍｇ１枚,,,,リバスタッチパッチ１８ｍｇ,小野薬品工業,,先発品,,439.70,,,,,,,
外用薬,1211700X1036,パラブチルアミノ安息香酸ジエチルアミノエチル塩酸塩,１ｇ,,,,テーカイン原末,ナガセ医薬品,,,,265.80,,,,,,,
外用薬,1211701X1049,プロカイン塩酸塩,１ｇ,局,,,塩酸プロカイン「ホエイ」,マイラン製薬,,,,22.60,,,,,,,
外用薬,1211701X1090,プロカイン塩酸塩,１ｇ,局,,,プロカイン塩酸塩原末「マルイシ」,丸石製薬,,,,20.10,,,,,,,
外用薬,1213700X1014,ジブカイン塩酸塩,１ｇ,局,,,ジブカイン塩酸塩,,,,,370.30,,,,,,,
外用薬,1214700P1046,塩酸リドカイン,２％１ｍＬ,,,,パートランゼリー２％,日新製薬（山形）,後発品,,,5.10,H27.9.30まで,,,,,,
外用薬,1214700P1054,塩酸リドカイン,２％１ｍＬ,,,,キシロカインゼリー２％,アストラゼネカ,,準先発品,○,7.90,,,,,,,
外用薬,1214700P1062,塩酸リドカイン,２％１ｍＬ,,,,アネトカインゼリー２％,小林化工,後発品,,,5.10,,,,,,,
外用薬,1214700P1070,塩酸リドカイン,２％１ｍＬ,,,,リドカイン塩酸塩ゼリー２％「日新」,日新製薬（山形）,後発品,,,5.10,,H26.12.12収載,,,,,
外用薬,1214700Q1033,塩酸リドカイン,４％１ｍＬ,,,,キシロカイン液「４％」,アストラゼネカ,,,,13.80,,,,,,,
外用薬,1214700Q1041,塩酸リドカイン,４％１ｍＬ,,,,キシロカイン点眼液４％,アストラゼネカ,,,,16.20,,,,,,,
外用薬,1214701R1041,リドカイン,１ｇ,,,,パートランポンプスプレー８％,日新製薬（山形）,後発品,,,23.60,H27.9.30まで,,,,,,
外用薬,1214701R1050,リドカイン,１ｇ,,,,キシロカインポンプスプレー８％,アストラゼネカ,後発品,,,23.60,,,,,,,
外用薬,1214701R1068,リドカイン,１ｇ,,,,リドカインポンプスプレー８％「日新」,日新製薬（山形）,後発品,,,23.60,,H26.12.12収載,,,,,
外用薬,1214701S1043,リドカイン,（１８ｍｇ）３０．５ｍｍ×５０．０ｍｍ１枚,,,,ユーパッチテープ１８ｍｇ,祐徳薬品工業,後発品,,,35.00,,,,,,,
外用薬,1214701S1051,リドカイン,（１８ｍｇ）３０．５ｍｍ×５０．０ｍｍ１枚,,,,ペンレステープ１８ｍｇ,日東電工,,先発品,○,48.10,,,,,,,
外用薬,1214701S1060,リドカイン,（１８ｍｇ）３０．５ｍｍ×５０．０ｍｍ１枚,,,,リドカインテープ１８ｍｇ「ＮＰ」,ニプロ,後発品,,,35.00,,,,,,,
外用薬,1214701S1078,リドカイン,（１８ｍｇ）３０．５ｍｍ×５０．０ｍｍ１枚,,,,リドカインテープ１８ｍｇ「ニプロ」,ニプロパッチ,後発品,,,35.00,,,,,,,
外用薬,1219800N1023,リドカイン・プロピトカイン配合剤,１ｇ,,,,エムラクリーム,佐藤製薬,,先発品,,176.80,,,,,,,
外用薬,1311701Q1031,シクロペントラート塩酸塩,１％１ｍＬ,,,,サイプレジン１％点眼液,参天製薬,,先発品,,87.00,,,,,,,
外用薬,1311702Q1036,フェニレフリン塩酸塩,５％１ｍＬ,,,,ネオシネジンコーワ５％点眼液,興和,,,,46.20,,,,,,,
外用薬,1311703X1019,ホマトロピン臭化水素酸塩,１ｇ,局,,,ホマトロピン臭化水素酸塩,,,,,475.40,,,,,,,
外用薬,1311705Q1048,トロピカミド,０．４％１ｍＬ,,,,ミドリンＭ点眼液０．４％,参天製薬,,準先発品,○,22.70,,,,,,,
外用薬,1311705Q1056,トロピカミド,０．４％１ｍＬ,,,,サンドールＭＹ点眼液０．４％,日本点眼薬研究所,後発品,,,17.40,,,,,,,
